,PnL
2022-03-02,-42610.71852449745
2022-03-03,1763.3206298811415
2022-03-04,-5230.6936809963645
2022-03-05,-4498.236060987182
2022-03-06,1953.5579464005834
2022-03-07,-251.37111309786752
2022-03-08,3813.2760585435813
2022-03-09,-4528.991940103791
2022-03-10,876.9942734507017
2022-03-11,3025.692791082557
2022-03-12,5338.548678642433
2022-03-13,1670.6580070678858
2022-03-14,-488.4874131280235
2022-03-15,11009.240334366168
2022-03-16,28366.88048610514
2022-03-17,33148.45685370158
2022-03-18,-884.9831989223474
2022-03-19,-8143.539155881608
2022-03-20,-5234.263427120863
2022-03-21,-9974.043169218841
2022-03-22,10089.352688962586
2022-03-23,5239.032038240801
2022-03-24,694.7034453002466
2022-03-25,3234.7588490841363
2022-03-26,-4098.8729029853885
2022-03-27,-3600.807166291313
2022-03-28,-1706.717633869556
2022-03-29,65085.20900936198
2022-03-30,-8150.522309868556
2022-03-31,-13439.242248464041
2022-04-01,1184.0842810275367
2022-05-31,-39528.99373628871
2022-06-01,-25126.195401077057
2022-06-02,-3980.0292395596107
2022-06-03,-47011.504745886254
2022-06-04,17198.430711354304
2022-06-05,40839.83476206083
2022-06-06,29958.588012708235
2022-06-07,30090.99416328848
2022-06-08,9898.444855345633
2022-06-09,-35661.242571009134
2022-06-10,-582.9796624988339
2022-06-11,1924.2667802009814
2022-06-12,22940.079273745447
2022-06-13,24719.22420028296
2022-06-14,-21134.57627529701
2022-06-15,31097.051311777694
2022-06-16,209.79743448116096
2022-06-17,11797.940650576633
2022-06-18,40358.90489979249
2022-06-19,-302.4875172845682
2022-06-20,-275361.5677025953
2022-06-21,-38394.55208353213
2022-06-22,-112665.74262674326
2022-06-23,8235.85104239453
2022-06-24,-26305.614271133858
2022-06-25,-81210.01756951165
2022-06-26,-315212.80092300574
2022-06-27,-684836.4131095577
2022-06-28,-36158.76556560854
2022-06-29,-86335.08676651728
2022-06-30,-1875.8232276912706
2022-08-29,0.0
2022-08-30,1746.270885485003
2022-08-31,5755.289696139146
2022-09-01,-3486.1255877679655
2022-09-02,-8062.04129593982
2022-09-03,-11376.765581574675
2022-09-04,-5395.319135671497
2022-09-05,28910.09738485845
2022-09-06,-1523.5035142160232
2022-09-07,-622.9776995937755
2022-09-08,-11385.456145459932
2022-09-09,-29363.533078346583
2022-09-10,14891.029094720101
2022-09-11,-48542.7756302469
2022-09-12,8846.854869569575
2022-09-13,852.296511704709
2022-09-14,-4637.818376223834
2022-09-15,-24917.63887031003
2022-09-16,7763.115429914887
2022-09-17,-45561.73348759325
2022-09-18,-17122.752883506793
2022-09-19,-49901.366013507686
2022-09-20,-3745.4860119451514
2022-09-21,107448.02943924707
2022-09-22,154377.1747034046
2022-09-23,7736.828501633009
2022-09-24,-18344.649568215056
2022-09-25,21021.446575256272
2022-09-26,-29415.58610028423
2022-09-27,186288.78257885948
2022-09-28,11321.374629791346
2022-11-27,0.0
2022-11-28,0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-03,0.0
2022-12-04,0.0
2022-12-05,-5726.935300428227
2022-12-06,-2810.504207593275
2022-12-07,-7307.578754930909
2022-12-08,2843.7580089920098
2022-12-09,2548.606858753971
2022-12-10,-2186.0045322377373
2022-12-11,-10125.363147286007
2022-12-12,829582.967264571
2022-12-13,-23058.87597188973
2022-12-14,-338.1151207119219
2022-12-15,-4318.72899315673
2022-12-16,-5406.039522563197
2022-12-17,7128.857169259596
2022-12-18,-28180.067374512975
2022-12-19,5640.259870375852
2022-12-20,-5746.866161900702
2022-12-21,-21519.30462366997
2022-12-22,-52983.98007929464
2022-12-23,18219.877692054793
2022-12-24,-285290.4580455565
2022-12-25,714936.3477987036
2022-12-26,1483642.4185193272
2022-12-27,-159.34691883516172
